name,description_semantique,ingredients,instructions,category,difficulty,prep_time,taste_profile
Margarita,"Margarita est un cocktail Classic alcoolise. Ingredients principaux: Tequila blanco, /2 oz Triple Sec, Jus de citron vert. Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only","[""1 1/2 oz Tequila blanco"", ""1/2 oz Triple Sec"", ""1 oz Jus de citron vert"", ""Sel""]",Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice then carefully pour into the glass.,Classic,Moyen,6,"{""Douceur"": 1.7, ""Acidite"": 3.6, ""Amertume"": 1.7, ""Force"": 1.6, ""Fraicheur"": 3.4}"
Mojito,"Mojito est un cocktail Classic alcoolise. Ingredients principaux: -3 oz Rhum blanc, Juice of 1 Citron vert, Sucre. Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cra","[""2-3 oz Rhum blanc"", ""Juice of 1 Citron vert"", ""2 tsp Sucre"", ""2-4 Menthe"", ""Soda""]",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.,Classic,Moyen,4,"{""Douceur"": 4.1, ""Acidite"": 1.5, ""Amertume"": 1.6, ""Force"": 1.7, ""Fraicheur"": 2.3}"
Old Fashioned,"Old Fashioned est un cocktail Classic alcoolise. Ingredients principaux: Whisky bourbon, es Angostura bitters, cube Sucre. Place sugar cube in old fashioned glass and saturate with bitters add a dash of plain water. Muddle ","[""4.5 cL Whisky bourbon"", ""2 dashes Angostura bitters"", ""1 cube Sucre"", ""dash Water""]",Place sugar cube in old fashioned glass and saturate with bitters add a dash of plain water. Muddle until dissolved. Fill the glass with ice cubes and add whiskey. Garnish with orange twist and a cocktail cherry.,Classic,Moyen,5,"{""Douceur"": 1.6, ""Acidite"": 1.5, ""Amertume"": 2.0, ""Force"": 4.3, ""Fraicheur"": 2.0}"
Whiskey Sour,"Whiskey Sour est un cocktail Classic alcoolise. Ingredients principaux: Whisky bourbon, Jus de citron jaune, /2 tsp Sucre. Shake with ice. Strain into chilled glass garnish and serve. If served On the rocks strain ingredien","[""2 oz Whisky bourbon"", ""1 oz Jus de citron jaune"", ""1/2 tsp Sucre"", ""1ml Cherry"", ""1/2 slice Citron jaune""]",Shake with ice. Strain into chilled glass garnish and serve. If served On the rocks strain ingredients into old-fashioned glass filled with ice.,Classic,Moyen,4,"{""Douceur"": 1.5, ""Acidite"": 2.0, ""Amertume"": 1.8, ""Force"": 3.4, ""Fraicheur"": 2.7}"
Cosmopolitan,"Cosmopolitan est un cocktail Classic alcoolise. Ingredients principaux: Vodka, /2 oz Cointreau, /2 oz Jus de citron vert. Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large co","[""1 1/4 oz Vodka"", ""1/2 oz Cointreau"", ""1/2 oz Jus de citron vert"", ""1/4 cup Jus de cranberry""]",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Classic,Moyen,4,"{""Douceur"": 2.5, ""Acidite"": 2.2, ""Amertume"": 1.8, ""Force"": 1.6, ""Fraicheur"": 3.0}"
Daiquiri,"Daiquiri est un cocktail Classic alcoolise. Ingredients principaux: Rhum blanc, Jus de citron vert, /2 oz Sirop simple. Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.","[""2 oz Rhum blanc"", ""1 oz Jus de citron vert"", ""1/2 oz Sirop simple""]",Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Classic,Facile,3,"{""Douceur"": 2.6, ""Acidite"": 2.1, ""Amertume"": 1.8, ""Force"": 2.9, ""Fraicheur"": 2.6}"
Manhattan,"Manhattan est un cocktail Classic alcoolise. Ingredients principaux: Rye whiskey, Sweet vermouth, dash Angostura bitters. Stirred over ice strained into a chilled glass garnished and served up.","[""2 1/2 oz Rye whiskey"", ""1 oz Sweet vermouth"", ""dash Angostura bitters"", ""1ml Maraschino cherry""]",Stirred over ice strained into a chilled glass garnished and served up.,Classic,Moyen,3,"{""Douceur"": 2.0, ""Acidite"": 2.0, ""Amertume"": 2.0, ""Force"": 1.6, ""Fraicheur"": 2.5}"
Pina Colada,"Pina Colada est un cocktail Classic alcoolise. Ingredients principaux: Rhum blanc, tablespoons Coconut milk, tablespoons Jus d'ananas. Mix with crushed ice in blender until smooth. Pour into chilled glass garnish and serve.","[""3 oz Rhum blanc"", ""3 tablespoons Coconut milk"", ""3 tablespoons Jus d'ananas""]",Mix with crushed ice in blender until smooth. Pour into chilled glass garnish and serve.,Classic,Facile,3,"{""Douceur"": 2.5, ""Acidite"": 1.5, ""Amertume"": 2.0, ""Force"": 3.9, ""Fraicheur"": 2.0}"
Negroni,"Negroni est un cocktail Classic alcoolise. Ingredients principaux: Gin, Campari, Sweet vermouth. Stir into glass over ice garnish and serve.","[""1 oz Gin"", ""1 oz Campari"", ""1 oz Sweet vermouth""]",Stir into glass over ice garnish and serve.,Classic,Facile,3,"{""Douceur"": 1.8, ""Acidite"": 1.5, ""Amertume"": 2.8, ""Force"": 2.7, ""Fraicheur"": 2.2}"
Bloody Mary,"Bloody Mary est un cocktail Classic alcoolise. Ingredients principaux: Vodka, Jus de tomate, /2 oz Jus de citron jaune. Stirring gently pour all ingredients into highball glass. Garnish.","[""1 1/2 oz Vodka"", ""3 oz Jus de tomate"", ""1/2 oz Jus de citron jaune"", ""3 dashes Worcestershire sauce"", ""3 drops Tabasco sauce"", ""Sel"", ""Pepper""]",Stirring gently pour all ingredients into highball glass. Garnish.,Classic,Difficile,3,"{""Douceur"": 2.1, ""Acidite"": 2.9, ""Amertume"": 1.5, ""Force"": 1.5, ""Fraicheur"": 2.6}"
Mai Tai,"Mai Tai est un cocktail Classic alcoolise. Ingredients principaux: Rhum blanc, Rhum brun, /2 oz Jus de citron vert. Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.","[""1 oz Rhum blanc"", ""1 oz Rhum brun"", ""1/2 oz Jus de citron vert"", ""1/2 oz Orange"", ""1/4 oz Orgeat syrup""]",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.,Classic,Moyen,3,"{""Douceur"": 2.8, ""Acidite"": 1.5, ""Amertume"": 1.9, ""Force"": 3.2, ""Fraicheur"": 2.3}"
Tequila Sunrise,"Tequila Sunrise est un cocktail Classic alcoolise. Ingredients principaux: Tequila blanco, Jus d'orange, Sirop de grenadine. Pour the tequila and orange juice into glass over ice. Add the grenadine which will sink to the bott","[""2 oz Tequila blanco"", ""Jus d'orange"", ""Sirop de grenadine""]",Pour the tequila and orange juice into glass over ice. Add the grenadine which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.,Classic,Facile,4,"{""Douceur"": 1.6, ""Acidite"": 1.5, ""Amertume"": 2.0, ""Force"": 3.9, ""Fraicheur"": 2.0}"
Moscow Mule,"Moscow Mule est un cocktail Classic alcoolise. Ingredients principaux: Vodka, Jus de citron vert, Ginger beer. Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garn","[""2 oz Vodka"", ""Jus de citron vert"", ""Ginger beer""]",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.,Classic,Facile,4,"{""Douceur"": 1.5, ""Acidite"": 1.5, ""Amertume"": 2.0, ""Force"": 4.4, ""Fraicheur"": 2.1}"
Gin and Tonic,"Gin and Tonic est un cocktail Classic alcoolise. Ingredients principaux: Gin, Tonic water, wedge Citron vert. Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garn","[""2 oz Gin"", ""5 oz Tonic water"", ""1 wedge Citron vert""]",Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,Classic,Facile,4,"{""Douceur"": 1.9, ""Acidite"": 1.5, ""Amertume"": 1.6, ""Force"": 2.2, ""Fraicheur"": 3.4}"
Aperol Spritz,"Aperol Spritz est un cocktail Classic alcoolise. Ingredients principaux: Aperol, Prosecco, splash Soda. Fill a wine glass with ice. Add the Aperol then prosecco and a splash of soda. Garnish with an orang","[""3 oz Aperol"", ""3 oz Prosecco"", ""splash Soda"", ""1 slice Orange""]",Fill a wine glass with ice. Add the Aperol then prosecco and a splash of soda. Garnish with an orange slice.,Classic,Moyen,4,"{""Douceur"": 2.5, ""Acidite"": 2.2, ""Amertume"": 3.2, ""Force"": 2.0, ""Fraicheur"": 2.7}"
